antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'ground beef', 'low fat yogurt'})",frozenset({'mineral water'}),0.009598720170643914,0.23836821757099053,0.004799360085321957,0.5,2.0975950782997765,0.002511330267282853,1.523263564858019
"frozenset({'ground beef', 'shrimp'})",frozenset({'spaghetti'}),0.011465137981602452,0.17411011865084655,0.005999200106652446,0.5232558139534884,3.005315360233627,0.0040030035723273155,1.732354385268956
"frozenset({'olive oil', 'shrimp'})",frozenset({'mineral water'}),0.008132249033462205,0.23836821757099053,0.004532728969470737,0.5573770491803278,2.338302710235816,0.0025942592625209406,1.7207236565988733
"frozenset({'olive oil', 'milk'})",frozenset({'mineral water'}),0.017064391414478068,0.23836821757099053,0.008532195707239034,0.5,2.0975950782997765,0.004464587141836183,1.523263564858019
"frozenset({'olive oil', 'chocolate'})",frozenset({'mineral water'}),0.01639781362485002,0.23836821757099053,0.008265564591387815,0.5040650406504065,2.1146486968225386,0.004356846985571013,1.5357493317830846
"frozenset({'frozen vegetables', 'olive oil'})",frozenset({'mineral water'}),0.011331822423676844,0.23836821757099053,0.006532462338354886,0.5764705882352941,2.4184037373338594,0.0038313160253920548,1.7982972640684944
"frozenset({'frozen vegetables', 'olive oil'})",frozenset({'spaghetti'}),0.011331822423676844,0.17411011865084655,0.005732568990801226,0.5058823529411764,2.9055310332402486,0.0037595840440845275,1.6714438074923343
"frozenset({'olive oil', 'tomatoes'})",frozenset({'spaghetti'}),0.007199040127982935,0.17411011865084655,0.004399413411545127,0.6111111111111112,3.5099115194827295,0.003145987680689813,2.1237168377549662
"frozenset({'olive oil', 'tomatoes'})",frozenset({'mineral water'}),0.007199040127982935,0.23836821757099053,0.0041327822956939075,0.5740740740740741,2.4083499047145582,0.00241675993216458,1.7881789674420223
"frozenset({'spaghetti', 'salmon'})",frozenset({'mineral water'}),0.013464871350486601,0.23836821757099053,0.006799093454206106,0.504950495049505,2.1183633464017544,0.0035894960705679184,1.5384962005065992
"frozenset({'milk', 'turkey'})",frozenset({'mineral water'}),0.011331822423676844,0.23836821757099053,0.0061325156645780565,0.5411764705882353,2.270338202395052,0.0034313693516152253,1.659966705293995
"frozenset({'frozen vegetables', 'turkey'})",frozenset({'mineral water'}),0.008798826823090255,0.23836821757099053,0.004399413411545127,0.5,2.0975950782997765,0.0023020527450092823,1.523263564858019
"frozenset({'whole wheat rice', 'pancakes'})",frozenset({'mineral water'}),0.006932409012131715,0.23836821757099053,0.0041327822956939075,0.5961538461538461,2.5009787472035794,0.0024803163159989993,1.8859453660146903
"frozenset({'milk', 'soup'})",frozenset({'mineral water'}),0.015197973603519531,0.23836821757099053,0.008532195707239034,0.5614035087719298,2.3551944738804504,0.004909481828677119,1.7365204639381415
"frozenset({'spaghetti', 'soup'})",frozenset({'mineral water'}),0.014264764698040262,0.23836821757099053,0.007465671243834155,0.5233644859813084,2.1956135399025696,0.004065404708692709,1.5979333474490982
