antecedents,consequents,confidence,lift,support
"['chicken', 'chocolate']",['mineral water'],0.5181818181818182,2.1738712629652226,0.007598986801759766
"['ground beef', 'chicken']",['spaghetti'],0.5070422535211266,2.9121929124517387,0.004799360085321957
"['chicken', 'pancakes']",['mineral water'],0.5294117647058824,2.2209830240821162,0.004799360085321957
"['olive oil', 'chocolate']",['mineral water'],0.5040650406504065,2.1146486968225386,0.008265564591387815
"['soup', 'chocolate']",['mineral water'],0.5526315789473685,2.3183945602260687,0.005599253432875617
"['cooking oil', 'eggs']",['mineral water'],0.5454545454545454,2.2882855399633923,0.006399146780429276
"['cooking oil', 'ground beef']",['spaghetti'],0.5714285714285714,3.2819951870487856,0.004799360085321957
"['cooking oil', 'pancakes']",['mineral water'],0.5932203389830508,2.4886721267963448,0.004666044527396347
"['ground beef', 'eggs']",['mineral water'],0.5066666666666667,2.125563012677107,0.010131982402346354
"['eggs', 'soup']",['mineral water'],0.5441176470588236,2.2826769969732865,0.004932675643247567
"['ground beef', 'frozen vegetables']",['mineral water'],0.5433070866141732,2.2792765417745597,0.009198773496867084
"['ground beef', 'frozen vegetables']",['spaghetti'],0.5118110236220472,2.939582303360625,0.008665511265164644
"['olive oil', 'frozen vegetables']",['mineral water'],0.5764705882352941,2.4184037373338594,0.006532462338354886
"['soup', 'frozen vegetables']",['mineral water'],0.6333333333333333,2.6569537658463833,0.005065991201173177
"['turkey', 'frozen vegetables']",['mineral water'],0.5,2.0975950782997765,0.004399413411545127
"['olive oil', 'frozen vegetables']",['spaghetti'],0.5058823529411764,2.9055310332402486,0.005732568990801226
"['ground beef', 'low fat yogurt']",['mineral water'],0.5,2.0975950782997765,0.004799360085321957
"['ground beef', 'milk']",['mineral water'],0.503030303030303,2.1103077757440176,0.011065191307825623
"['ground beef', 'pancakes']",['mineral water'],0.5137614678899083,2.1553270529318804,0.007465671243834155
"['ground beef', 'soup']",['mineral water'],0.5205479452054794,2.1837976157641505,0.005065991201173177
"['ground beef', 'shrimp']",['spaghetti'],0.5232558139534884,3.005315360233627,0.005999200106652446
"['milk', 'olive oil']",['mineral water'],0.5,2.0975950782997765,0.008532195707239034
"['soup', 'milk']",['mineral water'],0.5614035087719298,2.3551944738804504,0.008532195707239034
"['milk', 'turkey']",['mineral water'],0.5411764705882353,2.270338202395052,0.0061325156645780565
"['olive oil', 'shrimp']",['mineral water'],0.5573770491803278,2.338302710235816,0.004532728969470737
"['soup', 'olive oil']",['mineral water'],0.582089552238806,2.44197635981168,0.005199306759098787
"['tomatoes', 'olive oil']",['mineral water'],0.5740740740740741,2.4083499047145582,0.0041327822956939075
"['pancakes', 'soup']",['mineral water'],0.6274509803921569,2.632276176689915,0.004266097853619517
"['pancakes', 'whole wheat rice']",['mineral water'],0.5961538461538461,2.5009787472035794,0.0041327822956939075
"['spaghetti', 'salmon']",['mineral water'],0.504950495049505,2.1183633464017544,0.006799093454206106
"['soup', 'spaghetti']",['mineral water'],0.5233644859813084,2.1956135399025696,0.007465671243834155
"['tomatoes', 'olive oil']",['spaghetti'],0.6111111111111112,3.5099115194827295,0.004399413411545127
"['spaghetti', 'chocolate', 'frozen vegetables']",['mineral water'],0.5254237288135593,2.2042524551624765,0.0041327822956939075
"['ground beef', 'spaghetti', 'frozen vegetables']",['mineral water'],0.5076923076923077,2.1298657718120806,0.004399413411545127
"['milk', 'spaghetti', 'frozen vegetables']",['mineral water'],0.5483870967741935,2.300588150393303,0.004532728969470737
