antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'green tea'}),frozenset({'spaghetti'}),0.13211571790427942,0.17411011865084655,0.026529796027196375,0.2008072653884965,1.153334837426579,0.0035271127072405116,1.0334051419406705
frozenset({'spaghetti'}),frozenset({'green tea'}),0.17411011865084655,0.13211571790427942,0.026529796027196375,0.15237366003062788,1.153334837426579,0.0035271127072405116,1.023899613746171
frozenset({'french fries'}),frozenset({'green tea'}),0.1709105452606319,0.13211571790427942,0.028529529396080524,0.1669266770670827,1.263488400282732,0.005949560011560297,1.0417861888077844
frozenset({'green tea'}),frozenset({'french fries'}),0.13211571790427942,0.1709105452606319,0.028529529396080524,0.21594349142280528,1.263488400282732,0.005949560011560297,1.0574358425311634
frozenset({'chocolate'}),frozenset({'green tea'}),0.1638448206905746,0.13211571790427942,0.023463538194907346,0.14320585842148087,1.0839426276685449,0.0018170620844741477,1.012943763243723
frozenset({'green tea'}),frozenset({'chocolate'}),0.13211571790427942,0.1638448206905746,0.023463538194907346,0.17759838546922302,1.0839426276685449,0.0018170620844741477,1.0167236597492522
frozenset({'green tea'}),frozenset({'eggs'}),0.13211571790427942,0.17970937208372217,0.025463271563791495,0.1927346115035318,1.0724794665341186,0.0017208388568232674,1.0161350153312891
frozenset({'eggs'}),frozenset({'green tea'}),0.17970937208372217,0.13211571790427942,0.025463271563791495,0.14169139465875372,1.0724794665341189,0.0017208388568232674,1.0111564496672698
"frozenset({'green tea', 'mineral water'})",frozenset({'spaghetti'}),0.03106252499666711,0.17411011865084655,0.008265564591387815,0.26609442060085836,1.5283110634969668,0.0028572646786232175,1.1253353354055717
"frozenset({'green tea', 'spaghetti'})",frozenset({'mineral water'}),0.026529796027196375,0.23836821757099053,0.008265564591387815,0.3115577889447236,1.3070441693928254,0.0019417043998630696,1.1063118591487073
"frozenset({'mineral water', 'spaghetti'})",frozenset({'green tea'}),0.05972536995067324,0.13211571790427942,0.008265564591387815,0.13839285714285715,1.0475124333285284,0.0003749044632559411,1.0072853844012508
frozenset({'green tea'}),"frozenset({'mineral water', 'spaghetti'})",0.13211571790427942,0.05972536995067324,0.008265564591387815,0.06256306760847628,1.0475124333285282,0.0003749044632559411,1.0030270811398092
frozenset({'mineral water'}),"frozenset({'green tea', 'spaghetti'})",0.23836821757099053,0.026529796027196375,0.008265564591387815,0.03467561521252797,1.3070441693928254,0.0019417043998630696,1.008438426826983
frozenset({'spaghetti'}),"frozenset({'green tea', 'mineral water'})",0.17411011865084655,0.03106252499666711,0.008265564591387815,0.04747320061255743,1.5283110634969668,0.0028572646786232175,1.0172285710243993
"frozenset({'french fries', 'green tea'})",frozenset({'spaghetti'}),0.028529529396080524,0.17411011865084655,0.005332622317024397,0.18691588785046728,1.0735498275393225,0.0003653425688200018,1.0157496241880393
"frozenset({'french fries', 'spaghetti'})",frozenset({'green tea'}),0.027596320490601255,0.13211571790427942,0.005332622317024397,0.1932367149758454,1.4626322896405817,0.0016867146238920354,1.0757607568491865
"frozenset({'green tea', 'spaghetti'})",frozenset({'french fries'}),0.026529796027196375,0.1709105452606319,0.005332622317024397,0.20100502512562812,1.176083224233492,0.0007984004123629184,1.037665418195813
frozenset({'french fries'}),"frozenset({'green tea', 'spaghetti'})",0.1709105452606319,0.026529796027196375,0.005332622317024397,0.031201248049921998,1.176083224233492,0.0007984004123629184,1.004821901363232
frozenset({'green tea'}),"frozenset({'french fries', 'spaghetti'})",0.13211571790427942,0.027596320490601255,0.005332622317024397,0.04036326942482341,1.4626322896405817,0.0016867146238920354,1.013303939425672
frozenset({'spaghetti'}),"frozenset({'french fries', 'green tea'})",0.17411011865084655,0.028529529396080524,0.005332622317024397,0.030627871362940276,1.0735498275393225,0.0003653425688200018,1.0021646402912472
"frozenset({'french fries', 'mineral water'})",frozenset({'green tea'}),0.03372883615517931,0.13211571790427942,0.0061325156645780565,0.18181818181818182,1.376204017980002,0.0016764062618607259,1.0607474558947696
"frozenset({'green tea', 'mineral water'})",frozenset({'french fries'}),0.03106252499666711,0.1709105452606319,0.0061325156645780565,0.19742489270386268,1.1551358191666725,0.0008236025802256727,1.033036593338357
frozenset({'french fries'}),"frozenset({'green tea', 'mineral water'})",0.1709105452606319,0.03106252499666711,0.0061325156645780565,0.0358814352574103,1.1551358191666723,0.0008236025802256727,1.0049982548173728
